Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Mauritania,MRT,1980,59.1022863251021,95.7544256671296,79.5081481504244,89.8584405363529,80.2227924479675
Mauritania,MRT,1990,58.2775437863351,96.5285165503662,80.1874323250102,90.8565692882703,80.9403740662236
Mauritania,MRT,2000,38.4216670178072,95.8950264638109,69.6587196623663,87.0048643124905,70.857952045118
Mauritania,MRT,2005,31.6310898922103,94.06594237275,63.047449405697,82.8109714884174,64.350023154538
Mauritania,MRT,2010,23.0819963616982,91.3799129402935,53.9746046480928,76.7964698261197,55.3921557204567
Mauritania,MRT,2017,18.4353120824564,89.2434948026052,48.0893121445678,72.4357214294684,49.5417574421978
Mauritius,MUS,1820,12.9378162173687,88.1222728329754,41.686805561322,68.6376193158856,43.2285851567208
Mauritius,MUS,1850,10.6278970800188,91.3175119959244,41.7192746025748,71.7606082852628,43.4600994710054
Mauritius,MUS,1870,10.7713357881285,86.5009001546055,37.9478360186368,65.473151614384,39.4749605929394
Mauritius,MUS,1890,1.0573484602358,89.8807073837982,18.9247763956269,57.8108116120056,20.6196401490838
Mauritius,MUS,1910,4.65574132977696,90.3378087356867,31.0922654871071,65.6857972173429,32.9073328934381
Mauritius,MUS,1929,10.9381207995831,91.8756719804234,42.6770147604414,72.776821264109,44.4383842420699
Mauritius,MUS,1950,3.66801930230138,88.1577677418781,27.1822456354679,61.325008099941,28.8879215825272
Mauritius,MUS,1960,14.190770964281,84.4113300472787,40.4095274217917,64.9649163011998,41.7897345183547
Mauritius,MUS,1970,13.0306789994596,83.105772853031,38.3647335910876,62.9760476510839,39.7266073958867
Mauritius,MUS,1980,6.82685012922944,72.3905786592848,25.4695941653133,48.697667575915,26.6215486807468
Mauritius,MUS,1990,2.61297634395632,55.6580791846275,13.3077019888324,31.3898969745041,14.0856864631827
Mauritius,MUS,2000,1.62891741498575,47.8489088850193,9.54002115568104,24.7910288373147,10.155703364976
Mauritius,MUS,2005,1.51742156162068,46.7236956509718,9.06952021329712,23.9053108384531,9.66291021410274
Mauritius,MUS,2010,1.18763866304111,43.0745108621625,7.62506145010588,21.1098683178627,8.147625620699
Mauritius,MUS,2017,0.755576618378505,36.6531380664605,5.49612821897594,16.6073655841647,5.903044189858
Mexico,MEX,1820,47.5897147934961,99.8796223906263,87.9249177654159,98.2266383896903,88.9516890165586
Mexico,MEX,1850,36.3232174257915,99.9868047137996,89.2736575607999,99.2753246738976,90.4786403510476
Mexico,MEX,1870,54.8374412309974,99.3338728284055,85.4994296409944,96.1349253319943,86.3937947328255
Mexico,MEX,1890,30.1088034521382,98.8830242722631,72.4169773111483,92.5053492532246,73.9909454458586
Mexico,MEX,1910,25.9432163839531,95.4639040595513,61.2089418785821,83.8469067971687,62.7247009808469
Mexico,MEX,1929,27.7281906903531,94.1399168258933,60.5513899694451,82.0464510965352,61.9586897106151
Mexico,MEX,1950,14.4011758167934,89.0910482113633,44.0519613483602,70.5700148356105,45.5974712270707
Mexico,MEX,1960,7.24676227533484,82.4759548916596,30.6408237751959,58.4648424276526,32.0849304317595
Mexico,MEX,1970,2.77231195724487,70.3374736186709,17.3452106085544,41.9473819325856,18.435616293355
Mexico,MEX,1980,0.772125317138309,54.5763613349921,7.89251323703536,25.8270425890823,8.54795471254459
Mexico,MEX,1990,1.31383202781339,57.2271466080969,10.287332422204,29.4049153897819,11.0401565256725
Mexico,MEX,2000,0.910400393282441,47.9831890248837,7.46784336401684,22.7775966724234,8.03909824335772
